Name,Price,Bed,Info,Address,Link,Lat,Lng
"4847 Oakwood Ave. Los Angeles, CA","$3,925",1-3 Beds,Dog Friendly Cat Friendly In Unit Washer & Dryer Dishwasher,"4847 Oakwood Ave, Los Angeles, CA 90004",https://www.apartments.com/pico-los-angeles-ca/p2ed18v/
URBANLUX SUNSET PREMIUM,"$3,200",2 Beds,Dog Friendly Cat Friendly In Unit Washer & Dryer Dishwasher,"1425 N Alta Vista Blvd, Los Angeles, CA 90046",https://www.apartments.com/el-centro-apartments-and-bungalows-los-angeles-ca/m5m52rl/
&Pico,"$2,615 - 3,245",Studio - 1 Bed,Dog Friendly Cat Friendly In Unit Washer & Dryer Dishwasher Parking,"11916 W Pico Blvd, Los Angeles, CA 90064",https://www.apartments.com/kurve-los-angeles-ca/047tn61/
El Centro Apartments and Bungalows,"$2,380 - 6,655",Studio - 2 Beds,Dog Friendly Cat Friendly In Unit Washer & Dryer Dishwasher Parking,"6200 Hollywood Blvd, Los Angeles, CA 90028",https://www.apartments.com/the-harper-los-angeles-ca/dc8vftk/
Kurve,"$2,404 - 32,057",Studio - 3 Beds,Dog Friendly Cat Friendly,"2801 Sunset Pl, Los Angeles, CA 90005",https://www.apartments.com/tripalink-v-living-near-usc-los-angeles-ca/fzwjznr/
The Harper,"$2,615 - 3,177",1 Bed,Dog Friendly Cat Friendly In Unit Washer & Dryer Dishwasher,"800 S Harvard Blvd, Los Angeles, CA 90005",https://www.apartments.com/common-elmwood-los-angeles-ca/mvxkf1k/
Tripalink V-Living near USC,"$1,288 - 5,212",4 Beds,In Unit Washer & Dryer Dishwasher Parking,"1436 W 36th Pl, Los Angeles, CA 90018",https://www.apartments.com/violet-on-virgil-los-angeles-ca/rfx7km0/
Common Elmwood,"$1,260 - 1,625",Studio,In Unit Washer & Dryer Dishwasher Parking,"418 N Norton Ave, Los Angeles, CA 90004",https://www.apartments.com/the-nexen-los-angeles-ca/esh1beq/
Woodcliff Apartments,"$2,125 - 3,350",Studio - 2 Beds,Cat Friendly Dishwasher Parking Fitness Center,"3201 Overland Ave, Los Angeles, CA 90034",https://www.apartments.com/woodcliff-apartments-los-angeles-ca/z23h3gx/
Common Fountain,"$1,155 - 1,460",Studio,Parking Fitness Center,"5460 W Fountain Ave, Los Angeles, CA 90029",https://www.apartments.com/common-fountain-los-angeles-ca/bg7ej2c/
