floorSize,price,address,website
"2 bds2 ba1,400 sqft- Apartment for rent","$3,895+/mo","Metro Art Sherman Oaks, 14140 W Moorpark St, Sherman Oaks, CA 91423",https://www.zillow.com/homedetails/14140-W-Moorpark-St-FA5ACEAD7-Sherman-Oaks-CA-91423/2066758967_zpid/
1 bd1 ba700 sqft- Apartment for rent,"$2,098/mo","1 bed, $2,098, 15286 Sutton St APT 202, Sherman Oaks, CA 91403",https://www.zillow.com/homedetails/15286-Sutton-St-APT-202-Sherman-Oaks-CA-91403/2114986409_zpid/
"2 bds2.5 ba1,100 sqft- Apartment for rent","$3,400/mo","2 bed, 2.5 bath, 1100 sqft, $3,400, 11738 Mayfield Ave #109, Los Angeles, CA 90049",https://www.zillow.com/homedetails/11738-Mayfield-Ave-109-Los-Angeles-CA-90049/2064151167_zpid/
"2 bds2 ba1,323 sqft- Apartment for rent","$4,500/mo","1971 Rodney Dr APT 205, Los Angeles, CA 90027",https://www.zillow.com/homedetails/1971-Rodney-Dr-APT-205-Los-Angeles-CA-90027/20810564_zpid/
"$3,965+ 2 bds$5,471+ 3 bds","$2,650+ 1 bd","1010 Wilshire Fully Furnished Live/Work | 1010 Wilshire Blvd, Los Angeles, CA",/b/1010-wilshire-fully-furnished-live-work-los-angeles-ca-5XjCBD/
"$3,869+ 1 bd$5,133+ 2 bds$6,735+ 3 bds","$2,702+ Studio","THEA at Metropolis | 1000 W 8th St, Los Angeles, CA",/b/thea-at-metropolis-los-angeles-ca-9TyVXM/
"1 bd1 ba1,000 sqft- Apartment for rent","$3,200/mo","(undisclosed Address), Los Angeles, CA 90027",https://www.zillow.com/homedetails/Los-Angeles-CA-90027/2080175164_zpid/
"$3,300+ 2 bds","$2,550+ 1 bd","the perch | 4247 Eagle Rock Blvd, Los Angeles, CA",/b/the-perch-los-angeles-ca-9WKqFS/
1 bd1 ba850 sqft- Apartment for rent,"$2,199/mo","1924 Pelham Ave APT 101, Los Angeles, CA 90025",https://www.zillow.com/homedetails/1924-Pelham-Ave-APT-101-Los-Angeles-CA-90025/2081556813_zpid/
1 bd1 ba717 sqft- Apartment for rent,"$2,595/mo","5825 W Camerford Ave #210, Los Angeles, CA 90038",https://www.zillow.com/homedetails/5825-W-Camerford-Ave-210-Los-Angeles-CA-90038/2065473260_zpid/
